漢字,解説・構成
敕,攵（のぶん・ぼくづくり）に束
相,目（め）に木
相,「ショウ」は中学校で習う読み方です。
憎,りっしんべんに曽
勑,力（ちから）に來
麦,「バク」は中学校で習う読み方です。
孃,おんなへんに襄
皸,皮（けがわ・ひのかわ）に軍
惱,りっしんべんに𡿺
惱,りっしんべんに巛に囟
淇,さんずいに其
河,さんずいに可
防,こざとへんに方
癌,やまいだれに嵒
癌,やまいだれに品に山
窃,あなかんむりに切
沈,さんずいに冘
冢,冖（わかんむり）に豖
惇,りっしんべんに享
殍,歹（かばねへん・いちたへん・がつへん）に孚
槞,木（きへん）に竜
逸,しんにょう・しんにゅうに兔
暻,日（ひへん・にちへん）に景
暻,日（ひへん・にちへん）に日に京
僎,亻（にんべん）に巽
豩,豕（ぶた・いのこ・いのこへん）に豕
嘉,壴に加
熔,火（ひへん）に容
蝀,虫（むしへん）に東
芥,くさかんむりに介
鑿,金(かね）に𣫞
坡,土（つちへん・どへん）に皮
脹,にくづきに長
貉,豸（むじな・むじなへん）に各
資,貝（かい・こがい）に次
挈,手（て）に㓞
挈,手（て）に丯に刀
蝶,虫（むしへん）に枼
蝶,虫（むしへん）に世に木
桮,きへんに否
矠,矛（ほこ・ほこへん・むのほこ）に昔
炭,火（ひ）に屵
押,てへんに甲
押,「オウ」は高校で習う読み方です。
巖,山（やま・やまかんむり）に嚴
輜,車（くるまへん）に甾
輜,車（くるまへん）に巛に田
翯,羽（はね）に高
耵,耳（みみへん）に丁
明,ひへん・にちへんに月
盨,皿（さら）に須
盨,皿（さら）に彡に頁
麯,麥（むぎへん・ばくにょう）に曲
欬,欠（かける・あくび・けんづくり）に亥
瀚,さんずいに翰
癘,疒（やまいだれ）に萬
𧄍,艹（くさかんむり）に翹
𠢹,力（ちから）に廣
刪,りっとうに冊
尤,尢（まげあし・だいのまげあし・おうにょう）に丶
癧,疒（やまいだれ）に歷
髻,髟（かみがしら・かみかんむり）に吉
髻,髟（かみがしら・かみかんむり）に士に口
硑,石（いしへん）に并
維,糸（いとへん）に隹
遙,しんにょう・しんにゅうに䍃
畽,田（たへん）に重
鷲,鳥（とり）に就
尿,しかばね・かばね・しかばねかんむり・かばねだれに水
禘,しめすへんに帝
𡚴,山（やま・やまかんむり）に女
儉,にんべんに僉
淮,さんずいに隹
梜,木（きへん）に夾
憓,忄（りっしんべん）に惠
燙,火（ひ）に湯
㖨,口（くちへん）に彔
㖨,口（くちへん）に彑に氺
搬,てへんに般
魅,きにょうに未
鯆,魚（うおへん・さかなへん）に甫
翡,非に羽
筩,竹（たけかんむり）に甬
粡,米（こめへん）に同
遭,しんにょう・しんにゅうに曹
故,のぶん・ぼくづくりに古
故,「ゆえ」は中学校で習う読み方です。
暍,日（ひへん・にちへん）に曷
簋,竹（たけかんむり）に艮に皿
姤,女（おんなへん）に后
嶒,山（やまへん）に曾
概,きへんに既
鯁,魚（うおへん）に更
紜,糸（いとへん）に云
逭,しんにょう・しんにゅうに官
酘,酉（とりへん）に殳
汴,氵（さんずい）に卞
琨,王（たまへん・おうへん）に昆
琨,王（たまへん・おうへん）に日に比
跳,あしへんに兆
胗,月（にくづき）に㐱
黔,黑（くろ）に今
鶻,鳥（とり）に骨
樴,木（きへん）に戠
鬠,髟（かみがしら・かみかんむり）に會
軸,くるまへんに由
桝,木（きへん）に舛
翦,に羽
企,人（ひとやね・ひとがしら）に止
證,言（ごんべん）に登
迺,しんにょう・しんにゅうに西
耜,耒（すきへん・らいすき）に㠯
荿,艹（くさかんむり）に
佻,にんべんに兆
逸,しんにょう・しんにゅうに免
晟,日（ひ・にち）に成
淺,さんずいに戔
杻,木（きへん）に丑
御,ぎょうにんべんに卸
冊,「サク」は高校で習う読み方です。
宛,うかんむりに夗
宛,うかんむりに夕に㔾
萊,くさかんむりに來
櫲,木（きへん）に豫
櫲,木（きへん）に予に象
輅,車（くるまへん）に各
叩,卩（わりふ・ふしづくり）に口
謙,言（ごんべん）に兼
錻,金（かねへん）に武
攣,手（て）に䜌
熨,火（ひ）に尉
攪,てへんに覺
堯,垚に兀
幸,「さち」は中学校で習う読み方です。
幸,※幸の成り立ちには諸説あり、【会意】の説もあります。
瀑,さんずいに暴
扆,戸（とだれ・とかんむり）に衣
郲,おおざとに來
怳,忄（りっしんべん）に兄
媽,女（おんなへん）に馬
虗,虍（とらがしら・とらかんむり・とらに丘
点,れっか・れんがに占
煆,火（ひへん）に叚
苆,艹（くさかんむり）に切
苆,艹（くさかんむり）に七に刀
挵,てへんに弄
絛,糸（いと）に攸
瓏,王（おうへん・たまへん）に龍
咯,口（くちへん）に各
笽,竹（たけかんむり）に皿
炉,火（ひへん）に戸
鐐,金（かねへん）に尞
臑,月（にくづき）に需
劼,力（ちから）に吉
彤,彡（さんづくり・けかざり）に丹
渡,さんずいに度
腊,月（にくづき）に昔
熛,火（ひへん）に票
熛,火（ひへん）に覀に示
誾,言（ごんべん）に門
苧,くさかんむりに宁
忍,心（こころ）に刃
𦜝,月（にくづき）に斉
穵,穴（あなかんむり）に乙
儞,亻（にんべん）に爾
湖,さんずいに胡
圷,土（つちへん・どへん）に下
櫞,木（きへん）に緣
櫞,木（きへん）に糸に彖
簏,竹（たけかんむり）に鹿
窐,穴（あなかんむり）に圭
窐,穴（あなかんむり）に土に土
粹,こめへんに卒
痞,疒（やまいだれ）に否
