漢字,異体字
皋,皐
皋,臯
湿,濕
湿,溼
岧,岹
稛,稇
京,亰
廻,𢌞
廻,廽
插,挿
插,揷
惲,恽
統,綂
䇳,箋
䇳,牋
䇳,㮍
䇳,椾
䇳,笺
暈,晕
圍,囲
圍,围
棲,捿
耗,秏
免,免
恆,恒
舖,舗
舖,鋪
𥒎,碊
䋆,纑
曠,昿
曠,旷
借,徣
截,𢧵
繦,繈
騰,駦
壹,壱
壹,夁
撫,抚
蚕,蠶
蚕,蝅
蚕,蠺
壻,婿
壻,聟
𡧃,宇
𡧃,㝢
廛,壥
廛,鄽
廛,㙻
廛,㕓
栢,柏
拡,擴
拡,扩
蠅,蝿
應,応
應,应
𡈽,土
𡈽,圡
親,亲
親,媇
韜,鞱
農,辳
農,䢉
農,农
農,欁
鵙,鶪
萠,萌
弉,奘
單,単
單,𠦤
單,单
師,师
荣,栄
荣,榮
揚,扬
揚,敭
勗,勖
勗,朂
戎,𢦦
戾,戻
堕,墮
堕,𡐦
堕,墯
魂,䰟
攄,摅
懿,㦤
釼,剣
釼,劍
釼,劔
釼,劒
釼,剱
釼,𠝏
釼,剑
釼,劎
贓,賍
𦙾,脛
卑,卑
卑,𤰞
夅,降
鎭,鎮
壢,坜
宇,㝢
宇,𡧃
犹,猶
揭,掲
侮,侮
陦,隯
帀,匝
觀,観
跋,䟦
坰,垧
坰,埛
刃,刄
鑒,鑑
鑒,鍳
𤂖,灝
的,旳
鬪,闘
鬪,鬭
沪,濾
務,务
暫,暂
勤,勤
晋,晉
晋,㬜
氣,気
墜,坠
噓,嘘
蚤,𧎮
鎖,鏁
鎖,鎻
儀,仪
昏,昬
亮,𠅙
瓉,瓚
廡,庑
幮,㡡
顕,顯
顕,显
嶠,峤
騾,驘
効,效
総,總
総,摠
総,揔
総,緫
総,总
総,捴
総,搃
埗,埠
擽,攊
亊,事
亊,㕝
亊,叓
吟,訡
吟,噖
蘒,蘒
虜,虜
栁,柳
栁,桺
栁,桞
栁,橮
灶,竃
灶,竈
灶,𥧄
灶,䆴
褐,褐
韮,韭
囑,嘱
烏,乌
囶,国
囶,國
囶,圀
囶,囯
囶,囻
佇,伫
猪,猪
猪,豬
凢,凡
凢,凣
弎,三
凴,凭
鬣,鬛
鬣,㲱
𡋤,壗
臈,﨟
義,义
㟢,崎
㟢,嵜
㟢,﨑
賴,頼
擎,㢣
弃,棄
䰗,鬮
䰗,䦰
嘽,啴
寢,寝
寢,寑
寢,𡫒
疆,畺
疆,壃
疆,疅
渗,滲
渗,涁
喚,唤
独,獨
蒭,芻
欞,櫺
欞,棂
傴,伛
蠣,蛎
蠣,蠇
緒,緖
邉,辺
邉,邊
珱,瓔
欛,𣠽
繪,絵
仐,傘
仐,𠍘
仐,伞
忽,𢗘
雝,雍
䵷,鼃
歴,歷
歴,厯
歴,𠪱
戦,戰
戦,战
蟖,蟴
蛎,蠣
蛎,蠇
橫,横
藥,薬
甜,甛
垨,守
靉,叆
悟,忢
將,将
体,躰
体,軆
体,體
侃,𠈉
侃,偘
鍬,鍫
昃,𣅦
昃,昗
𡶜,岸
𡶜,㟁
漥,窪
簔,蓑
簔,簑
嘔,呕
禪,禅
邃,𨗉
𡵸,嶧
樹,树
窘,侰
塁,壘
虯,虬
戟,㦸
戟,𢧢
寧,寍
寧,寜
寧,寕
燈,灯
宜,冝
宜,宐
糕,餻
珉,瑉
践,踐
㟴,嵬
嶼,屿
䘏,恤
䘏,卹
獺,㺚
麴,麹
麴,麯
豌,𧯡
㠶,帆
㠶,䑺
㠶,𩗋
岸,㟁
岸,𡶜
台,臺
台,䑓
台,坮
備,僃
備,偹
峽,峡
低,仾
鬂,鬢
鬂,髩
洤,泉
猿,猨
剏,刱
剏,剙
腸,膓
丑,丒
錢,銭
𦐂,翼
㠯,以
蘖,櫱
秘,祕
價,価
圖,図
圖,圗
勉,勉
側,侧
暉,晖
輕,軽
檟,槚
婀,妸
婀,娿
繊,纖
繊,纎
凡,凢
凡,凣
都,都
礼,禮
雑,雜
雑,襍
雑,杂
寛,寬
寛,宽
麤,麁
歬,前
歬,偂
橢,楕
橢,椭
橢,㰐
橢,㯐
誼,𧧼
守,垨
愷,恺
狀,状
埿,泥
塩,鹽
浩,澔
摶,抟
獻,献
偬,傯
偬,倊
檃,櫽
塀,塀
散,𢿨
槌,桘
煢,㷀
煢,焭
全,㒰
繁,繁
繁,䋣
纊,絋
吝,㖁
寶,宝
寶,寳
寶,寚
恵,惠
恵,僡
蘓,蘇
炗,光
炗,灮
炗,炛
遷,迁
峯,峰
屢,屡
即,卽
光,灮
光,炗
光,炛
桜,櫻
桜,樱
年,秊
祉,祉
丗,世
丗,卋
穐,秋
穐,龝
穐,秌
埒,埓
巛,川
卧,臥
碎,砕
赱,走
赱,𧺆
稈,秆
䕃,蔭
䕃,𦹥
䡎,轤
豅,𧯇
尫,尩
尫,尪
尫,𡯪
天,兲
鍫,鍬
犠,犧
叔,𠦑
杶,櫄
假,仮
襌,褝
澤,沢
澤,峄
淚,涙
淚,泪
氳,氲
桌,槕
摩,擵
廰,庁
廰,廳
廰,厅
廰,厛
㑪,儕
㑪,侪
轜,輀
會,会
會,㑹
柩,匛
規,䂓
規,椝
規,槼
規,规
坌,坋
筿,篠
筿,筱
籌,筹
肇,肈
瘘,瘻
篙,㰏
活,𣴠
剜,𠛠
筹,籌
䖸,蛾
謳,𧦅
點,点
點,奌
點,㸃
睪,睪
沢,澤
沢,峄
叙,敍
叙,敘
瀆,涜
瀆,凟
塑,塐
沉,沈
擻,擞
濾,沪
賖,賒
暭,暤
暭,曍
祓,𥘬
読,讀
孽,孼
業,业
尚,尙
慢,𢢔
谹,𧮯
惛,惽
冨,富
卻,却
卻,㕁
鈬,鐸
糶,粜
姸,妍
孿,孪
孿,㝈
濟,済
峴,岘
噴,喯
噴,喷
鐡,鉄
鐡,銕
鐡,鐵
揀,拣
㳒,法
㳒,灋
㳒,佱
伝,傳
伝,传
㴑,泝
冪,羃
冪,幂
祈,祈
蝱,虻
卒,卆
卒,䘚
毘,毗
毘,𣬈
熙,煕
熙,熈
熙,凞
熙,凞
熙,焈
撾,挝
愨,慤
愨,悫
遜,愻
遜,逊
槀,槁
𦹥,蔭
𦹥,䕃
𦹥,𨼲
黏,粘
執,执
閠,閏
盃,杯
盃,桮
盃,㮎
鞋,鞵
悊,哲
悊,喆
悊,嚞
悊,啠
撻,挞
錬,鍊
図,圖
図,圗
嫻,嫺
嫻,𡢃
嫻,娴
矛,𨥨
練,練
婦,媍
婦,妇
剄,刭
蝿,蠅
餾,𩞷
繿,襤
蕩,蘯
啓,啔
啓,唘
啓,啟
孫,孙
在,扗
憘,憙
咢,㖾
候,𠊱
辨,弁
辨,辧
笻,筇
痴,癡
巒,峦
漆,柒
函,凾
函,圅
富,冨
倅,伜
薰,薫
薰,蘍
鷗,鴎
炱,炲
挲,挱
櫟,檪
櫟,栎
藝,芸
藝,兿
欄,欄
欄,栏
髹,髤
墻,牆
墻,墙
鱸,魲
砧,碪
醸,釀
妙,玅
鷆,鷏
圈,圏
蔵,藏
崫,崛
棧,桟
棧,栈
杉,檆
鼎,𣇄
鼎,鼑
叫,呌
厚,㫗
厚,垕
卆,卒
卆,䘚
徂,䢐
觽,觿
泰,𣳾
泰,㤗
泰,冭
喉,㗋
僧,僧
檻,槛
燗,𤏐
禮,礼
様,樣
禱,祷
潑,溌
韭,韮
从,従
从,從
蘗,檗
蘗,檘
镸,長
镸,仧
镸,兏
亝,斉
亝,齊
亝,斊
顔,顏
忝,㤁
衘,銜
衘,啣
衘,㘅
滞,滯
