漢字,音訓,読み方,表内読み
憫,訓,うれ,える,表内読み
憫,音,ビン,,表内読み
憫,音,ミン,,表内読み
頍,音,キ,,表内読み
廚,訓,くりや,,表内読み
廚,音,チュウ,,表内読み
廚,音,ズ,,表内読み
孔,訓,あな,,表外読み
孔,訓,はなは,だ,表外読み
孔,音,コウ,,表内読み
孔,音,ク,,表外読み
觚,訓,さかずき,,表内読み
觚,訓,かど,,表内読み
觚,音,コ,,表内読み
筯,訓,はし,,表内読み
筯,音,チョ,,表内読み
錝,音,ソウ,,表内読み
呱,音,コ,,表内読み
槪,訓,おおむ,ね,表内読み
槪,訓,とかき,,表内読み
槪,音,ガイ,,表内読み
槪,音,カイ,,表内読み
崝,音,ソウ,,表内読み
崝,音,ジョウ,,表内読み
覊,訓,おもがい,,表内読み
覊,訓,たづな,,表内読み
覊,訓,つな,ぐ,表内読み
覊,訓,とりし,まる,表内読み
覊,訓,たび,,表内読み
覊,訓,たびびと,,表内読み
覊,音,キ,,表内読み
褂,訓,うちかけ,,表内読み
褂,訓,はだぎ,,表内読み
褂,音,カイ,,表内読み
鵠,訓,くぐい,,表内読み
鵠,訓,しろ,い,表内読み
鵠,訓,まと,,表内読み
鵠,音,コク,,表内読み
鵠,音,コウ,,表内読み
冗,音,ジョウ,,表内読み
声,訓,こえ,,表内読み
声,訓,こわ,,表内読み
声,音,セイ,,表内読み
声,音,ショウ,,表内読み
樓,訓,たかどの,,表内読み
樓,音,ロウ,,表内読み
壁,訓,かべ,,表内読み
壁,訓,がけ,,表外読み
壁,音,ヘキ,,表内読み
欖,音,ラン,,表内読み
稘,音,キ,,表内読み
瞩,訓,み,る,表内読み
瞩,音,ショク,,表内読み
瞩,音,ソク,,表内読み
堡,訓,とりで,,表内読み
堡,訓,つつみ,,表内読み
堡,音,ホ,,表内読み
堡,音,ホウ,,表内読み
讌,訓,うたげ,,表内読み
讌,訓,さかも,り,表内読み
讌,音,エン,,表内読み
忘,訓,わす,れる,表内読み
忘,音,ボウ,,表内読み
忘,音,モウ,,表外読み
羲,音,ギ,,表内読み
塡,訓,ふさ,ぐ,表外読み
塡,訓,ふさ,がる,表外読み
塡,訓,うず,める,表外読み
塡,訓,うず,まる,表外読み
塡,訓,は,める,表外読み
塡,音,テン,,表内読み
粟,訓,もみ,,表内読み
粟,訓,ふち,,表内読み
粟,訓,あわ,,表内読み
粟,音,ゾク,,表内読み
粟,音,ショク,,表内読み
叮,訓,ねんご,ろ,表内読み
叮,音,テイ,,表内読み
絵,音,カイ,,表内読み
絵,音,エ,,表内読み
牯,音,コ,,表内読み
敦,訓,あつ,い,表内読み
敦,音,トン,,表内読み
敦,音,タイ,,表内読み
蔬,訓,あおもの,,表内読み
蔬,訓,な,,表内読み
蔬,訓,あら,い,表内読み
蔬,音,ソ,,表内読み
蔬,音,ショ,,表内読み
𢈘,訓,しか,,表内読み
𢈘,訓,か,,表内読み
𢈘,音,ロク,,表内読み
嗔,訓,いか,る,表内読み
嗔,訓,いか,り,表内読み
嗔,音,シン,,表内読み
𧑉,音,フ,,表内読み
𧑉,音,フウ,,表内読み
栘,音,イ,,表内読み
飋,音,シツ,,表内読み
黿,音,ゲン,,表内読み
黿,音,ガン,,表内読み
騨,音,タン,,表内読み
騨,音,タ,,表内読み
騨,音,ダ,,表内読み
庁,音,チョウ,,表内読み
庁,音,テイ,,表外読み
牕,訓,まど,,表内読み
牕,音,ソウ,,表内読み
笳,訓,あしぶえ,,表内読み
笳,音,カ,,表内読み
遨,訓,あそ,ぶ,表内読み
遨,音,ゴウ,,表内読み
洧,音,イ,,表内読み
沄,音,ウン,,表内読み
斧,訓,おの,,表内読み
斧,音,フ,,表内読み
睠,訓,かえり,みる,表内読み
睠,音,ケン,,表内読み
充,訓,あ,てる,表内読み
充,訓,み,ちる,表外読み
充,訓,み,たす,表外読み
充,音,ジュウ,,表内読み
充,音,シュウ,,表外読み
亶,訓,あつ,い,表内読み
亶,訓,まこと,,表内読み
亶,訓,ほしいまま,,表内読み
亶,訓,もっぱ,ら,表内読み
亶,音,タン,,表内読み
亶,音,セン,,表内読み
苔,訓,こけ,,表内読み
苔,音,タイ,,表内読み
炬,訓,たいまつ,,表内読み
炬,訓,かがりび,,表内読み
炬,訓,ともしび,,表内読み
炬,訓,や,く,表内読み
炬,音,キョ,,表内読み
炬,音,コ,,表内読み
咋,訓,か,む,表内読み
咋,訓,く,う,表内読み
咋,訓,く,らう,表内読み
咋,音,サク,,表内読み
咋,音,サ,,表内読み
鱠,訓,なます,,表内読み
鱠,音,カイ,,表内読み
猊,訓,しし,,表内読み
猊,音,ゲイ,,表内読み
鰣,訓,はす,,表内読み
鰣,音,シ,,表内読み
鰣,音,ジ,,表内読み
𦉰,訓,－,,表内読み
𦉰,音,－,,表内読み
帕,音,ハク,,表内読み
帕,音,バツ,,表内読み
帕,音,ハ,,表内読み
衵,訓,ふだんぎ,,表内読み
衵,訓,あこめ,,表内読み
衵,音,ジツ,,表内読み
締,訓,し,まる,表内読み
締,訓,し,める,表内読み
締,訓,むす,ぶ,表外読み
締,音,テイ,,表内読み
殩,音,サン,,表内読み
畊,訓,たがや,す,表内読み
畊,音,コウ,,表内読み
巣,訓,す,,表内読み
巣,音,ソウ,,表内読み
猷,訓,はか,る,表内読み
猷,訓,はかりごと,,表内読み
猷,訓,みち,,表内読み
猷,音,ユウ,,表内読み
伃,音,ヨ,,表内読み
勉,訓,つと,める,表外読み
勉,音,ベン,,表内読み
才,訓,ざえ,,表外読み
才,訓,かど,,表外読み
才,音,サイ,,表内読み
惴,訓,おそ,れる,表内読み
惴,音,スイ,,表内読み
惴,音,ズイ,,表内読み
燼,訓,もえのこ,り,表内読み
燼,訓,もえさ,し,表内読み
燼,訓,のこ,り,表内読み
燼,音,ジン,,表内読み
銧,音,コウ,,表内読み
侈,訓,おご,る,表内読み
侈,訓,ほしいまま,,表内読み
侈,訓,おお,きい,表内読み
侈,音,シ,,表内読み
縺,訓,もつ,れる,表内読み
縺,訓,もつ,れ,表内読み
縺,音,レン,,表内読み
筵,訓,むしろ,,表内読み
筵,音,エン,,表内読み
迸,訓,はし,る,表内読み
迸,訓,ほとばし,る,表内読み
迸,音,ホウ,,表内読み
迸,音,ヒョウ,,表内読み
榠,音,メイ,,表内読み
翊,訓,たす,ける,表内読み
翊,訓,あくるひ,,表内読み
翊,音,ヨク,,表内読み
挺,訓,ぬ,く,表内読み
挺,訓,ぬき,んでる,表内読み
挺,音,テイ,,表内読み
挺,音,チョウ,,表内読み
奶,音,ダイ,,表内読み
奶,音,ナイ,,表内読み
帛,訓,きぬ,,表内読み
帛,訓,しろぎぬ,,表内読み
帛,訓,ぬさ,,表内読み
帛,音,ハク,,表内読み
藙,音,ギ,,表内読み
伯,訓,おさ,,表外読み
伯,訓,かしら,,表外読み
伯,訓,はたがしら,,表外読み
伯,訓,かみ,,表外読み
伯,音,ハク,,表内読み
伯,音,ハ,,表外読み
㠀,訓,しま,,表内読み
㠀,音,トウ,,表内読み
揜,訓,おお,う,表内読み
揜,音,エン,,表内読み
土,訓,つち,,表内読み
土,音,ド,,表内読み
土,音,ト,,表内読み
褌,訓,したばかま,,表内読み
褌,訓,ふんどし,,表内読み
褌,訓,みつ,,表内読み
褌,音,コン,,表内読み
縊,訓,くび,る,表内読み
縊,訓,くび,れる,表内読み
縊,訓,くく,る,表内読み
縊,音,イ,,表内読み
縊,音,エイ,,表内読み
撃,訓,う,つ,表内読み
撃,音,ゲキ,,表内読み
撃,音,ケキ,,表外読み
韈,訓,たび,,表内読み
韈,訓,くつした,,表内読み
韈,音,ベツ,,表内読み
韈,音,バツ,,表内読み
敏,訓,さと,い,表内読み
敏,訓,と,し,表内読み
敏,音,ビン,,表内読み
痂,訓,かさぶた,,表内読み
痂,訓,ひぜん,,表内読み
痂,音,カ,,表内読み
痂,音,ケ,,表内読み
嗉,音,ソ,,表内読み
嵋,音,ビ,,表内読み
朱,訓,あか,,表外読み
朱,訓,あけ,,表外読み
朱,音,シュ,,表内読み
朱,音,ス,,表外読み
伸,訓,の,びる,表内読み
伸,訓,の,ばす,表内読み
伸,訓,の,べる,表内読み
伸,訓,の,す,表外読み
伸,音,シン,,表内読み
厭,訓,あ,きる,表内読み
厭,訓,いと,う,表内読み
厭,訓,いや,,表内読み
厭,訓,おさ,える,表内読み
厭,音,エン,,表内読み
厭,音,オン,,表内読み
厭,音,ヨウ,,表内読み
顗,音,ギ,,表内読み
沭,音,シュツ,,表内読み
沭,音,ジュツ,,表内読み
樋,訓,ひ,,表内読み
樋,訓,とい,,表内読み
樋,音,トウ,,表内読み
已,訓,や,む,表内読み
已,訓,や,める,表内読み
已,訓,すで,に,表内読み
已,訓,のみ,,表内読み
已,訓,はなは,だ,表内読み
已,音,イ,,表内読み
滕,訓,わ,く,表内読み
滕,音,トウ,,表内読み
弾,訓,たま,,表内読み
弾,訓,はず,む,表内読み
弾,訓,ひ,く,表内読み
弾,訓,はじ,く,表外読み
弾,訓,ただ,す,表外読み
弾,訓,はじ,ける,表外読み
弾,訓,はず,み,表外読み
弾,音,ダン,,表内読み
瓊,訓,たま,,表内読み
瓊,訓,に,,表内読み
瓊,音,ケイ,,表内読み
