漢字,関連項目
狁,獫
鰈,鮃
亢,女
亢,角
亢,牛
亢,室
亢,心
亢,星
亢,胃
亢,参
亢,張
亢,危
亢,鬼
亢,虚
亢,井
亢,斗
亢,尾
亢,壁
亢,房
亢,翼
亢,柳
亢,奎
亢,昴
亢,畢
亢,箕
亢,婁
亢,觜
亢,軫
亢,氐
𧾷,足
壱,拾
壱,参
壱,陸
壱,壱
壱,漆
壱,弐
壱,伍
壱,玖
壱,捌
壱,肆
姉,兄
姉,弟
姉,妹
忄,心
忄,㣺
陸,拾
陸,参
陸,陸
陸,壱
陸,漆
陸,弐
陸,伍
陸,玖
陸,捌
陸,肆
餳,糖
獫,狁
獫,玁
𪃹,鶺
膀,胱
篖,筕
庚,丁
庚,己
庚,乙
庚,甲
庚,辛
庚,丙
庚,壬
庚,戊
庚,癸
七,一
七,九
七,三
七,四
七,七
七,十
七,二
七,八
七,六
七,五
垂,構
垂,垂
垂,冠
垂,脚
垂,偏
垂,旁
垂,繞
艏,艉
酊,酩
鳦,燕
酩,酊
騑,驂
柳,女
柳,角
柳,牛
柳,室
柳,心
柳,星
柳,胃
柳,参
柳,張
柳,危
柳,鬼
柳,虚
柳,井
柳,斗
柳,尾
柳,壁
柳,房
柳,翼
柳,奎
柳,昴
柳,畢
柳,箕
柳,婁
柳,亢
柳,觜
柳,軫
柳,氐
嬲,嫐
莨,菪
辶,辵
辶,辶
齷,齪
葭,葦
籔,斗
鹻,鹼
脾,心
脾,肺
脾,肝
脾,腎
脾,脾
寐,寤
駃,騠
觜,女
觜,角
觜,牛
觜,室
觜,心
觜,星
觜,胃
觜,参
觜,張
觜,危
觜,鬼
觜,虚
觜,井
觜,斗
觜,尾
觜,壁
觜,房
觜,翼
觜,柳
觜,奎
觜,昴
觜,畢
觜,箕
觜,婁
觜,亢
觜,軫
觜,氐
跬,歩
蝙,蝠
宮,羽
宮,角
宮,商
宮,徴
狌,猩
澗,一
澗,十
澗,正
澗,千
澗,百
澗,京
澗,万
澗,億
澗,極
澗,兆
澗,溝
澗,載
澗,穣
澗,垓
澗,秭
鷦,鷯
蛞,蝓
甲,丁
甲,己
甲,乙
甲,辛
甲,丙
甲,壬
甲,庚
甲,戊
甲,癸
葦,葭
坤,乾
坤,震
坤,離
坤,巽
坤,艮
坤,兌
坤,坎
鶙,鵳
正,一
正,十
正,千
正,百
正,京
正,万
正,億
正,極
正,兆
正,溝
正,載
正,穣
正,澗
正,垓
正,秭
椛,樺
戌,子
戌,午
戌,申
戌,未
戌,丑
戌,亥
戌,卯
戌,寅
戌,巳
戌,辰
戌,酉
戌,戌
蟋,蟀
蚯,蚓
腎,心
腎,肺
腎,肝
腎,腎
腎,脾
鷉,鸊
膃,肭
耂,老
竓,竍
竓,竏
竓,竕
竓,竓
竓,竡
竓,竰
嘛,喇
星,女
星,角
星,牛
星,室
星,心
星,胃
星,参
星,張
星,危
星,鬼
星,虚
星,井
星,斗
星,尾
星,壁
星,房
星,翼
星,柳
星,奎
星,昴
星,畢
星,箕
星,婁
星,亢
星,觜
星,軫
星,氐
壬,丁
壬,己
壬,乙
壬,甲
壬,辛
壬,丙
壬,庚
壬,戊
壬,癸
翼,女
翼,角
翼,牛
翼,室
翼,心
翼,星
翼,胃
翼,参
翼,張
翼,危
翼,鬼
翼,虚
翼,井
翼,斗
翼,尾
翼,壁
翼,房
翼,柳
翼,奎
翼,昴
翼,畢
翼,箕
翼,婁
翼,亢
翼,觜
翼,軫
翼,氐
漣,瀾
子,子
子,男
子,午
子,公
子,申
子,未
子,侯
子,伯
子,丑
子,亥
子,卯
子,寅
子,巳
子,辰
子,酉
子,戌
橘,平
橘,源
橘,藤
九,一
九,九
九,三
九,四
九,七
九,十
九,二
九,八
九,六
九,五
胃,女
胃,角
胃,牛
胃,室
胃,心
胃,星
胃,参
胃,張
胃,危
胃,鬼
胃,虚
胃,井
胃,斗
胃,尾
胃,壁
胃,房
胃,翼
胃,柳
胃,奎
胃,昴
胃,畢
胃,箕
胃,婁
胃,亢
胃,觜
胃,軫
胃,氐
䴇,鷦
旁,構
旁,垂
旁,冠
旁,脚
旁,偏
旁,旁
旁,繞
孑,孒
㐂,喜
㐂,歖
夏,秋
夏,春
夏,冬
楨,桢
蝓,蛞
火,金
火,水
火,土
火,木
駼,騊
五,一
五,九
五,三
五,四
五,七
五,十
五,二
五,八
五,六
五,五
坎,乾
坎,震
坎,離
坎,巽
坎,坤
坎,艮
坎,兌
室,女
室,角
室,牛
室,心
室,星
室,胃
室,参
室,張
室,危
室,鬼
室,虚
室,井
室,斗
室,尾
室,壁
室,房
室,翼
室,柳
室,奎
室,昴
室,畢
室,箕
室,婁
室,亢
室,觜
室,軫
室,氐
姑,姨
鷀,鵜
苦,酸
苦,甘
苦,辛
苦,鹹
茵,蔯
一,一
一,九
一,三
一,四
一,七
一,十
一,正
一,千
一,二
一,八
一,百
一,六
一,五
一,京
一,万
一,億
一,極
一,兆
一,溝
一,載
一,穣
一,澗
一,垓
一,秭
戊,丁
戊,己
戊,乙
戊,甲
戊,辛
戊,丙
戊,壬
戊,庚
戊,癸
