漢字,名乗り訓
勤,いそし
勤,つとむ
勤,とし
勤,のり
均,お
均,ただ
均,なお
均,なり
均,ひとし
均,ひら
均,まさ
錦,かね
錦,にしき
斤,のり
欣,やすし
欣,よし
欽,うや
欽,こく
欽,ただ
欽,ひとし
欽,まこと
欽,よし
琴,こと
芹,せり
襟,ひも
謹,すすむ
謹,ちか
謹,なり
謹,のり
謹,もり
近,ちか
近,もと
金,か
金,かな
金,かね
吟,あきら
吟,おと
吟,こえ
銀,かね
銀,しろがね
九,かず
九,ここ
九,ただ
九,ちか
九,ちかし
九,ひさ
玖,き
玖,く
玖,たま
玖,ひさ
矩,かど
矩,かね
矩,ただし
矩,ただす
矩,つね
矩,のり
駒,こま
具,とも
虞,すけ
虞,もち
虞,やす
空,たか
偶,とも
偶,ます
遇,あい
遇,あう
遇,はる
隅,すみ
隅,ふさ
串,くし
櫛,きよ
櫛,くし
釧,たまき
屑,きよ
沓,かず
熊,かげ
熊,くま
桑,くわ
勲,いさ
勲,いさお
勲,いそ
勲,こと
勲,つとむ
勲,ひろ
君,きみ
君,きん
君,こ
君,すえ
君,なお
君,よし
薫,かお
薫,かおる
薫,くる
薫,しげ
薫,ただ
薫,つとむ
薫,にお
薫,のぶ
薫,ひで
薫,ふさ
薫,まさ
薫,ゆき
訓,くに
訓,しる
訓,とき
訓,のり
訓,みち
群,とも
群,むら
群,むれ
群,もと
軍,いく
軍,いくさ
軍,いさ
軍,すすむ
軍,むら
軍,むれ
郡,くに
郡,さと
郡,とも
袈,けさ
係,たえ
傾,かたぶ
刑,のり
兄,あに
兄,え
兄,えだ
兄,これ
兄,さき
兄,しげ
兄,ただ
兄,ね
兄,よし
啓,あきら
啓,さとし
啓,はじめ
啓,はる
啓,ひら
啓,ひらき
啓,ひらく
啓,ひろ
啓,ひろし
啓,ひろむ
啓,よし
圭,か
圭,かど
圭,きよ
圭,きよし
圭,たま
圭,よし
契,ちぎる
契,ひさ
形,あれ
形,かた
形,すえ
形,なり
形,み
形,より
径,みち
恵,あや
恵,さと
恵,さとし
恵,しげ
恵,とし
恵,めぐみ
恵,めぐむ
恵,やす
恵,よし
慶,ちか
慶,のり
慶,みち
慶,やす
慶,よし
慧,あきら
慧,さと
慧,さとし
慧,さとる
憩,やす
掲,なが
敬,あき
敬,あつ
敬,いつ
敬,うや
敬,かた
敬,さとし
敬,たか
敬,たかし
敬,とし
敬,のり
敬,はや
敬,ひろ
敬,ひろし
敬,ゆき
敬,よし
景,あきら
景,かげ
景,ひろ
渓,たに
稽,とき
稽,のり
稽,よし
系,いと
系,つぎ
系,つら
系,とし
経,おさむ
経,つね
経,のぶ
経,のり
経,ふ
経,ふる
継,つぎ
継,つぐ
継,つね
継,ひで
茎,くき
計,かず
計,かずえ
計,はかる
詣,ゆき
軽,かる
軽,とし
芸,き
芸,ぎ
芸,すけ
芸,のり
芸,まさ
鯨,くじら
傑,すぐる
傑,たかし
傑,たけし
決,さだ
潔,きよ
潔,きよし
潔,ゆき
潔,よし
穴,これ
穴,な
結,かた
結,ひとし
結,ゆい
血,ち
月,つき
月,つぎ
件,かず
件,なか
件,わか
健,かつ
健,きよ
健,きよし
健,たけ
健,たけし
健,たける
健,たつ
健,たて
健,たる
健,つよ
健,つよし
健,とし
健,まさる
健,やす
兼,かず
兼,かた
兼,かぬ
兼,かね
兼,とも
剣,あきら
剣,つとむ
剣,つるぎ
剣,はや
喧,はる
堅,かき
堅,かた
堅,かたし
堅,すえ
堅,たか
堅,つよし
堅,み
堅,よし
建,たけ
建,たけし
建,たける
建,たつ
建,たつる
建,たて
憲,あきら
憲,かず
憲,さだ
憲,ただし
憲,ただす
憲,とし
