漢字,異体字
圍,囲
圍,围
圓,円
圓,圎
圓,圆
團,団
圖,図
圖,圗
嗇,啬
坎,埳
埀,垂
埒,埓
埓,埒
埣,𡉻
堝,埚
塲,場
塲,场
堡,堢
塢,坞
毀,毁
塒,埘
堽,岡
堽,崗
堽,岗
塹,壍
塹,𡐛
塹,堑
壞,壊
墻,牆
墻,墙
墮,堕
墮,𡐦
墮,墯
壅,㙲
壓,圧
壓,压
壗,𡋤
壙,圹
壘,塁
壥,廛
壥,鄽
壥,㙻
壥,㕓
壤,壌
壟,壠
壟,垄
壟,垅
壯,壮
壺,壷
壺,壶
壺,壸
壹,壱
壹,夁
壻,婿
壻,聟
壽,寿
壽,夀
壽,𦓆
夐,敻
夐,𢿌
夛,多
梦,夢
梦,㝱
梦,夣
夬,叏
夾,夹
竒,奇
奐,奂
奘,弉
奧,奥
奬,奨
奬,獎
奬,㢡
奬,奖
奩,匳
奩,匲
奩,奁
奸,姧
妝,𡝂
妝,娤
妝,妆
佞,侫
侫,佞
妍,姸
姙,妊
姙,𡜟
娟,姢
婀,妸
婀,娿
媼,媪
嫋,嬝
嫂,㛮
媽,妈
嫗,妪
嫩,嫰
嫩,媆
嫺,嫻
嫺,𡢃
嫺,娴
嫻,嫺
嫻,𡢃
嫻,娴
嬌,娇
嬋,婵
嬪,娦
嬪,嫔
嬾,孄
嬾,孏
孃,嬢
孳,孶
學,学
學,斈
斈,学
斈,學
孺,𡦘
寃,冤
寇,冦
寇,𡨥
寇,宼
寇,㓂
寉,隺
實,実
實,实
寢,寝
寢,寑
寢,𡫒
寫,写
寫,冩
寶,宝
寶,寳
寶,寚
寳,宝
寳,寶
寳,寚
尅,剋
將,将
專,専
專,专
對,対
對,对
尓,爾
尓,尒
尓,尔
尠,尟
尢,尣
屁,𥧔
屆,届
屎,宩
屓,屭
屏,屛
屏,幈
屬,属
岷,崏
岷,㟭
岷,㞶
峩,峨
峽,峡
嶌,島
嶌,嶋
嶌,㠀
嶌,嶹
嶌,岛
崕,崖
崗,岡
崗,堽
崗,岗
嵜,崎
嵜,㟢
嵜,﨑
崟,崯
崑,崐
崢,峥
崙,崘
崘,崙
嵒,嵓
嵬,㟴
嵳,嵯
嶇,岴
嶇,岖
嶄,嶃
嶄,崭
嶢,嶤
嶢,𡸳
嶢,峣
嶬,㠖
嶮,𡸴
嶮,崄
嶽,岳
嶼,屿
巓,嵮
巓,巅
巓,巔
巒,峦
巖,巌
巖,巗
巛,川
巵,卮
帋,紙
帑,伖
帶,帯
帶,带
幃,帏
幀,帧
幔,㡢
幟,旘
幟,帜
幤,幣
幇,帮
幇,幫
幇,幚
并,幷
幺,么
麼,麽
麼,庅
廁,厠
廁,厕
廂,厢
廈,厦
廐,厩
廐,廏
廏,厩
廏,廐
廣,広
